DSSTox_RID	DSSTox_CID	DSSTox_Generic_SID	DSSTox_FileID	STRUCTURE_Formula	STRUCTURE_MolecularWeight	STRUCTURE_ChemicalType	STRUCTURE_TestedForm_DefinedOrganic	STRUCTURE_Shown	TestSubstance_ChemicalName	TestSubstance_CASRN	TestSubstance_Description	ChemicalNote	STRUCTURE_ChemicalName_IUPAC	STRUCTURE_SMILES	STRUCTURE_Parent_SMILES	STRUCTURE_InChI	STRUCTURE_InChIKey	StudyType	Endpoint	Species	ChemicalReplicateCount	ChemClass_MRDD_grouping	TherapeuticCategory	Dose_MRDD_mg	Dose_MRDD_mmol	LOGINV_MRDD_mmol	ActivityScore_FDAMDD	ActivityCategory_MRDD_mmol	ActivityCategory_MCASE_mg	Note_FDAMDD			
23075	3075	23075	535_FDAMDD_v3b	C21H24ClN3O3	401.88656	defined organic	parent	tested chemical	Fominoben	18053-31-1	single chemical compound		N-(3-chloro-2-{[methyl(2-morpholin-4-yl-2-oxoethyl)amino]methyl}phenyl)benzamide	C3OCCN(C(=O)CN(C)CC2=C(NC(=O)C1=CC=CC=C1)C=CC=C2Cl)C3	C3OCCN(C(=O)CN(C)CC2=C(NC(=O)C1=CC=CC=C1)C=CC=C2Cl)C3	"InChI=1/C21H24ClN3O3/c1-24(15-20(26)25-10-12-28-13-11-25)14-17-18(22)8-5-9-19(17)23-21(27)16-6-3-2-4-7-16/h2-9H,10-15H2,1H3,(H,23,27)/f/h23H"	KSNNEUZOAFRTDS-MPIMZMORCD	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antitussive; respiratory stimulant	8	0.019906115	1.701013496	30	Moderate	Low	form of drug administered not known			
23076	3076	23076	536_FDAMDD_v3b	C19H25N3O2S2	391.5507	defined organic	parent	tested chemical	Fonazine	7456-24-8	single chemical compound		"10-[2-(dimethylamino)propyl]-N,N-dimethyl-10H-phenothiazine-2-sulfonamide"	C1=CC=C2C(=C1)N(CC(C)N(C)C)C3=C(S2)C=CC(S(=O)(=O)N(C)C)=C3	C1=CC=C2C(=C1)N(CC(C)N(C)C)C3=C(S2)C=CC(S(=O)(=O)N(C)C)=C3	"InChI=1/C19H25N3O2S2/c1-14(20(2)3)13-22-16-8-6-7-9-18(16)25-19-11-10-15(12-17(19)22)26(23,24)21(4)5/h6-12,14H,13H2,1-5H3"	VWNWVCJGUMZDIU-UHFFFAOYAN	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antimigraine	1.33	0.00339675	2.468936364	39	Moderate	High	form of drug administered not known			
23077	3077	23077	537_FDAMDD_v3b	C19H24N2O4	344.40486	defined organic	parent	tested chemical	Formoterol	73573-87-2	single chemical compound	stereochem	N-{2-hydroxy-5-[(1R)-1-hydroxy-2-({(1R)-1-methyl-2-[4-(methyloxy)phenyl]ethyl}amino)ethyl]phenyl}formamide	Oc1ccc(cc1NC=O)[C@@H](O)CN[C@H](C)Cc2ccc(OC)cc2	Oc1ccc(cc1NC=O)[C@@H](O)CN[C@H](C)Cc2ccc(OC)cc2	"InChI=1/C19H24N2O4/c1-13(9-14-3-6-16(25-2)7-4-14)20-11-19(24)15-5-8-18(23)17(10-15)21-12-22/h3-8,10,12-13,19-20,23-24H,9,11H2,1-2H3,(H,21,22)/t13-,19+/m1/s1/f/h21H"	BPZSYCZIITTYBL-FYAPXLMHDL	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antiasthmatic	2.67	0.007752504	2.11055801	35	Moderate	High-Moderate	form of drug administered not known			
23078	3078	23078	538_FDAMDD_v3b	CNa3O5P	191.950771	defined organic	salt 3Na	tested chemical	Foscarnet	63585-09-1	single chemical compound		trisodium dioxidophosphanecarboxylate oxide	[Na+].[Na+].[Na+].[O-]C(=O)P([O-])([O-])=O	OC(=O)P(O)(O)=O	"InChI=1/CH3O5P.3Na/c2-1(3)7(4,5)6;;;/h(H,2,3)(H2,4,5,6);;;/q;3*+1/p-3/fCO5P.3Na/q-3;3m"	DFHAXXVZCFXGOQ-KBZFXTNNCD	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antiviral	120	0.625160292	0.204008615	13	Low	Low	form of drug administered not known			
23079	3079	23079	539_FDAMDD_v3b	C30H46NO7P	563.662501	defined organic	parent	tested chemical	Fosinopril	98048-97-6	single chemical compound	stereochem	(4S)-4-cyclohexyl-1-{[{[2-methyl-1-(propanoyloxy)propyl]oxy}(4-phenylbutyl)phosphoryl]acetyl}-L-proline	O=C(CP(=O)(CCCCc1ccccc1)OC(OC(=O)CC)C(C)C)N2C[C@@H](C[C@H]2C(O)=O)C3CCCCC3	O=C(CP(=O)(CCCCc1ccccc1)OC(OC(=O)CC)C(C)C)N2C[C@@H](C[C@H]2C(O)=O)C3CCCCC3	"InChI=1/C30H46NO7P/c1-4-28(33)37-30(22(2)3)38-39(36,18-12-11-15-23-13-7-5-8-14-23)21-27(32)31-20-25(19-26(31)29(34)35)24-16-9-6-10-17-24/h5,7-8,13-14,22,24-26,30H,4,6,9-12,15-21H2,1-3H3,(H,34,35)/t25-,26+,30?,39?/m1/s1/f/h34H"	BIDNLKIUORFRQP-AIINYXMPDF	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antihypertensive	1.33	0.002359568	2.627167502	41	Moderate	High	form of drug administered not known			
23080	3080	23080	540_FDAMDD_v3b	C14H17N3O	243.30428	defined organic	parent	tested chemical	Frovatriptan	158747-02-5	single chemical compound	stereochem	"(3R)-3-(methylamino)-2,3,4,9-tetrahydro-1H-carbazole-6-carboxamide"	O=C(N)C(C=C3)=CC1=C3NC2=C1C[C@H](NC)CC2	O=C(N)C(C=C3)=CC1=C3NC2=C1C[C@H](NC)CC2	"InChI=1/C14H17N3O/c1-16-9-3-5-13-11(7-9)10-6-8(14(15)18)2-4-12(10)17-13/h2,4,6,9,16-17H,3,5,7H2,1H3,(H2,15,18)/t9-/m1/s1/f/h15H2"	XPSQPHWEGNHMSK-KGBGUXBVDE	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antimigraine	0.125	0.00051376	3.289239736	48	High-Moderate	High	form of drug administered not known; structure modified v3b			
23081	3081	23081	541_FDAMDD_v3b	C6H12O6	180.1559	defined organic	parent	tested chemical	"Fructose, furanose form"	57-48-7	single chemical compound	stereochem	beta-D-fructofuranose	O[C@H]1[C@H](O)[C@@H](CO)O[C@]1(O)CO	O[C@H]1[C@H](O)[C@@H](CO)O[C@]1(O)CO	"InChI=1/C6H12O6/c7-1-3-4(9)5(10)6(11,2-8)12-3/h3-5,7-11H,1-2H2/t3-,4-,5+,6-/m1/s1"	RFSUNEUAIZKAJO-ARQDHWQXBD	Clinical Reports 	Maximum Recommended Daily Dose	human	1 of 2	Fructose	fluid and nutrient replenisher; ferric form as hematinic	417	2.314661912	-0.364487565	7	Low	Low	form of drug administered not known			
23082	3082	23082	542_FDAMDD_v3b	C6H12O6	180.15588	defined organic	parent	tested chemical	"Fructose, pyranose form"	7660-25-5	single chemical compound	stereochem	beta-D-fructopyranose	O[C@@H]1[C@@](O)(CO)OC[C@@H](O)[C@H]1O	O[C@@H]1[C@@](O)(CO)OC[C@@H](O)[C@H]1O	"InChI=1/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4-,5+,6-/m1/s1"	LKDRXBCSQODPBY-ARQDHWQXBK	Clinical Reports 	Maximum Recommended Daily Dose	human	2 of 2	Fructose	fluid and nutrient replenisher; ferric form as hematinic	417	2.314662169	-0.364487614	7	Low	Low	form of drug administered not known			
23083	648	20648	543_FDAMDD_v3b	C12H11ClN2O5S	330.7441	defined organic	parent	tested chemical	Furosemide	54-31-9	single chemical compound		5-(aminosulfonyl)-4-chloro-2-[(furan-2-ylmethyl)amino]benzoic acid	NS(C1=C(Cl)C=C(NCC2=CC=CO2)C(C(O)=O)=C1)(=O)=O	NS(C1=C(Cl)C=C(NCC2=CC=CO2)C(C(O)=O)=C1)(=O)=O	"InChI=1/C12H11ClN2O5S/c13-9-5-10(15-6-7-2-1-3-20-7)8(12(16)17)4-11(9)21(14,18)19/h1-5,15H,6H2,(H,16,17)(H2,14,18,19)/f/h16H,14H2"	ZZUFCTLCJUWOSV-CDZRGBSPCX	Clinical Reports 	Maximum Recommended Daily Dose	human	1		diuretic; antihypertensive	10	0.030234855	1.519492106	28	Low-Moderate	Low	form of drug administered not known			
23084	3084	23084	544_FDAMDD_v3b	C17H26N4O3S2	398.5433	defined organic	parent	representative isomer in mixture	Fursultiamine	804-30-8	mixture or formulation	"mixture of Z,E isomers; structure shown E; stereochem"	N-[(4-amino-2-methylpyrimidin-5-yl)methyl]-N-{(1E)-4-hydroxy-1-methyl-2-[(tetrahydrofuran-2-ylmethyl)disulfanyl]but-1-en-1-yl}formamide	O=CN(/C(C)=C(CCO)/SSCC2OCCC2)CC1=C(N)N=C(C)N=C1	O=CN(/C(C)=C(CCO)/SSCC2OCCC2)CC1=C(N)N=C(C)N=C1	"InChI=1/C17H26N4O3S2/c1-12(16(5-6-22)26-25-10-15-4-3-7-24-15)21(11-23)9-14-8-19-13(2)20-17(14)18/h8,11,15,22H,3-7,9-10H2,1-2H3,(H2,18,19,20)/b16-12+/f/h18H2"	JTLXCMOFVBXEKD-XGUBBVCKDL	Clinical Reports 	Maximum Recommended Daily Dose	human	1		enzyme cofactor	1.67	0.00419026	2.377759041	38	Moderate	High	form of drug administered not known; structure modified v3b			
23085	3085	23085	545_FDAMDD_v3b	C10H13NO2	179.21572	defined organic	parent	tested chemical	Fusaric acid	536-69-6	single chemical compound		5-butylpyridine-2-carboxylic acid	C1=C(CCCC)C=CC(C(O)=O)=N1	C1=C(CCCC)C=CC(C(O)=O)=N1	"InChI=1/C10H13NO2/c1-2-3-4-8-5-6-9(10(12)13)11-7-8/h5-7H,2-4H2,1H3,(H,12,13)/f/h12H"	DGMPVYSXXIOGJY-XWKXFZRBCV	Clinical Reports 	Maximum Recommended Daily Dose	human	1		none	7.5	0.041849007	1.378314838	27	Low-Moderate	Low	form of drug administered not known			
23086	3086	23086	546_FDAMDD_v3b	C31H48O6	516.70922	defined organic	parent	tested chemical	Fusidic acid	6990-06-3	single chemical compound	stereochem	"(2Z)-2-[(3alpha,4alpha,5alpha,8alpha,9beta,11alpha,13alpha,14beta,16beta,17Z)-16-(acetyloxy)-3,11-dihydroxy-4,8,10,14-tetramethylgonan-17-ylidene]-6-methylhept-5-enoic acid"	C/C(C)=C\CC\C(=C4\[C@H](C[C@@]2(C)[C@H]4C[C@@H](O)[C@H]1[C@@]3(C)CC[C@@H](O)[C@@H](C)[C@@H]3CC[C@@]12C)OC(C)=O)C(O)=O	C/C(C)=C\CC\C(=C4\[C@H](C[C@@]2(C)[C@H]4C[C@@H](O)[C@H]1[C@@]3(C)CC[C@@H](O)[C@@H](C)[C@@H]3CC[C@@]12C)OC(C)=O)C(O)=O	"InChI=1/C31H48O6/c1-17(2)9-8-10-20(28(35)36)26-22-15-24(34)27-29(5)13-12-23(33)18(3)21(29)11-14-30(27,6)31(22,7)16-25(26)37-19(4)32/h9,18,21-25,27,33-34H,8,10-16H2,1-7H3,(H,35,36)/b26-20-/t18-,21-,22-,23+,24+,25-,27-,29-,30-,31-/m0/s1/f/h35H"	IECPWNUMDGFDKC-YLSUCPHCDU	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antibacterial	25	0.048383112	1.315306202	26	Low-Moderate	Low	form of drug administered not known			
23087	74	20074	547_FDAMDD_v3b	C9H17NO2	171.2388	defined organic	parent	tested chemical	Gabapentin	60142-96-3	single chemical compound		[1-(aminomethyl)cyclohexyl]acetic acid	NCC1(CC(=O)O)CCCCC1	NCC1(CC(=O)O)CCCCC1	"InChI=1/C9H17NO2/c10-7-9(6-8(11)12)4-2-1-3-5-9/h1-7,10H2,(H,11,12)/f/h11H"	UGJMXCAKCUNAIE-WXRBYKJCCG	Clinical Reports 	Maximum Recommended Daily Dose	human	1		anticonvulsant	20	0.11679596	0.93257218	22	Low	Low	form of drug administered not known			
23088	3088	23088	548_FDAMDD_v3b	C6H12O6	180.15588	defined organic	parent	tested chemical	Galactose	59-23-4	single chemical compound	stereochem	D-galactopyranose	O[C@H]1[C@@H](O)[C@@H](CO)OC(O)[C@@H]1O	O[C@H]1[C@@H](O)[C@@H](CO)OC(O)[C@@H]1O	"InChI=1/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6?/m1/s1"	WQZGKKKJIJFFOK-SVZMEOIVBA	Clinical Reports 	Maximum Recommended Daily Dose	human	1		diagnostic aid; hepatic function	100	0.555074861	0.255648441	14	Low	Low	form of drug administered not known			
23089	3089	23089	549_FDAMDD_v3b	C30H60I3N3O3	891.52911	defined organic	salt 3I	tested chemical	Gallamine triethiodide	65-29-2	single chemical compound	ammonium	"2,2',2''-[benzene-1,2,3-triyltris(oxy)]tris(N,N,N-triethylethanaminium) triiodide"	[I-].[I-].[I-].CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC	CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC	"InChI=1/C30H60N3O3.3HI/c1-10-31(11-2,12-3)22-25-34-28-20-19-21-29(35-26-23-32(13-4,14-5)15-6)30(28)36-27-24-33(16-7,17-8)18-9;;;/h19-21H,10-18,22-27H2,1-9H3;3*1H/q+3;;;/p-3/fC30H60N3O3.3I/h;3*1h/qm;3*-1"	REEUVFCVXKWOFE-FXOGYBOSCC	Clinical Reports 	Maximum Recommended Daily Dose	human	1		skeletal muscle relaxant	2	0.002243337	2.649105533	41	Moderate	High	form of drug administered not known			
23090	652	20652	550_FDAMDD_v3b	C15H22O3	250.3334	defined organic	parent	tested chemical	Gemfibrozil	25812-30-0	single chemical compound		"5-[(2,5-dimethylphenyl)oxy]-2,2-dimethylpentanoic acid"	CC1=C(C=C(C=C1)C)OCCCC(C(=O)O)(C)C	CC1=C(C=C(C=C1)C)OCCCC(C(=O)O)(C)C	"InChI=1/C15H22O3/c1-11-6-7-12(2)13(10-11)18-9-5-8-15(3,4)14(16)17/h6-7,10H,5,8-9H2,1-4H3,(H,16,17)/f/h16H"	HEMJJKBWTPKOJG-WYUMXYHSCS	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antihyperlipoproteinemic	20	0.079893454	1.097488802	23	Low	Low	form of drug administered not known			
23091	3091	23091	551_FDAMDD_v3b	C21H43N5O7	477.59542	defined organic	parent	tested chemical	Gentamicin C1	25876-10-2	single chemical compound	stereochem	"(1R,2S,3S,4R,6S)-4,6-diamino-3-{[3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl]oxy}-2-hydroxycyclohexyl (6x)-2-amino-2,3,4,6,7-pentadeoxy-6-(methylamino)-alpha-D-erythro-heptopyranoside"	N[C@H]1[C@H](O[C@H]2OC[C@@](O)(C)[C@H](NC)[C@H]2O)[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)NC)CC[C@H]3N)[C@@H](N)C1	N[C@H]1[C@H](O[C@H]2OC[C@@](O)(C)[C@H](NC)[C@H]2O)[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)NC)CC[C@H]3N)[C@@H](N)C1	"InChI=1/C21H43N5O7/c1-9(25-3)13-6-5-10(22)19(31-13)32-16-11(23)7-12(24)17(14(16)27)33-20-15(28)18(26-4)21(2,29)8-30-20/h9-20,25-29H,5-8,22-24H2,1-4H3/t9?,10-,11+,12-,13+,14+,15-,16-,17+,18-,19-,20-,21+/m1/s1"	CEAZRRDELHUEMR-URQXQFDEBJ	Clinical Reports 	Maximum Recommended Daily Dose	human	1 of 3	Gentamicin	antibacterial	3	0.006281467	2.201938899	36	Moderate	Moderate	form of drug administered not known; CASRN corrected v3b; structure modified v3b			
23092	3092	23092	552_FDAMDD_v3b	C19H39N5O7	449.54226	defined organic	parent	tested chemical	Gentamicin C1a	26098-04-4	single chemical compound	stereochem	"(1R,2S,3S,4R,6S)-4,6-diamino-3-{[3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl]oxy}-2-hydroxycyclohexyl 2,6-diamino-2,3,4,6-tetradeoxy-alpha-D-erythro-hexopyranoside"	N[C@H]1[C@H](O[C@H]2OC[C@@](O)(C)[C@H](NC)[C@H]2O)[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C1	N[C@H]1[C@H](O[C@H]2OC[C@@](O)(C)[C@H](NC)[C@H]2O)[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C1	"InChI=1/C19H39N5O7/c1-19(27)7-28-18(13(26)16(19)24-2)31-15-11(23)5-10(22)14(12(15)25)30-17-9(21)4-3-8(6-20)29-17/h8-18,24-27H,3-7,20-23H2,1-2H3/t8-,9+,10-,11+,12-,13+,14+,15-,16+,17+,18+,19-/m0/s1"	VEGXETMJINRLTH-BOZYPMBZBY	Clinical Reports 	Maximum Recommended Daily Dose	human	2 of 3	Gentamicin	antibacterial	3	0.006673455	2.17564927	36	Moderate	Moderate	form of drug administered not known; CASRN corrected v3b; structure modified v3b			
23093	3093	23093	553_FDAMDD_v3b	C20H41N5O7	463.56884	defined organic	parent	tested chemical	Gentamicin C2	25876-11-3	single chemical compound	stereochem	"(1R,2S,3S,4R,6S)-4,6-diamino-3-{[3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl]oxy}-2-hydroxycyclohexyl (6x)-2,6-diamino-2,3,4,6,7-pentadeoxy-alpha-D-erythro-heptopyranoside"	N[C@H]1[C@H](O[C@H]2OC[C@@](O)(C)[C@H](NC)[C@H]2O)[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C1	N[C@H]1[C@H](O[C@H]2OC[C@@](O)(C)[C@H](NC)[C@H]2O)[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C1	"InChI=1/C20H41N5O7/c1-8(21)12-5-4-9(22)18(30-12)31-15-10(23)6-11(24)16(13(15)26)32-19-14(27)17(25-3)20(2,28)7-29-19/h8-19,25-28H,4-7,21-24H2,1-3H3/t8?,9-,10+,11-,12+,13+,14-,15-,16+,17-,18-,19-,20+/m1/s1"	XUFIWSHGXVLULG-IBLUXPFWBI	Clinical Reports 	Maximum Recommended Daily Dose	human	3 of 3	Gentamicin	antibacterial	3	0.006471531	2.188992981	36	Moderate	Moderate	form of drug administered not known; structure modified v3b			
23094	3094	23094	554_FDAMDD_v3b	C21H24O2	308.41406	defined organic	parent	tested chemical	Gestrinone	16320-04-0	single chemical compound	stereochem	"(17alpha)-13-Ethyl-17-hydroxy-18,19-dinorpregna-4,9,11-trien-20-yn-3-one"	O=C2C=C3C(CC2)=C1[C@](CC3)([H])[C@@](CC4)([H])[C@]([C@]4(O)C#C)(CC)C=C1	O=C2C=C3C(CC2)=C1[C@](CC3)([H])[C@@](CC4)([H])[C@]([C@]4(O)C#C)(CC)C=C1	"InChI=1/C21H24O2/c1-3-20-11-9-17-16-8-6-15(22)13-14(16)5-7-18(17)19(20)10-12-21(20,23)4-2/h2,9,11,13,18-19,23H,3,5-8,10,12H2,1H3/t18-,19+,20+,21+/m1/s1"	BJJXHLWLUDYTGC-ANULTFPQBO	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antigonadotropin	0.0417	0.000135208	3.868998114	54	High	High	form of drug administered not known			
23095	3095	23095	555_FDAMDD_v3b	C15H21N3O3S	323.41054	defined organic	parent	tested chemical	Gliclazide	21187-98-4	single chemical compound		N-[(hexahydrocyclopenta[c]pyrrol-2(1H)-ylamino)carbonyl]-4-methylbenzenesulfonamide	C1CCC3C1CN(NC(=O)NS(=O)(=O)C2=CC=C(C)C=C2)C3	C1CCC3C1CN(NC(=O)NS(=O)(=O)C2=CC=C(C)C=C2)C3	"InChI=1/C15H21N3O3S/c1-11-5-7-14(8-6-11)22(20,21)17-15(19)16-18-9-12-3-2-4-13(12)10-18/h5-8,12-13H,2-4,9-10H2,1H3,(H2,16,17,19)/f/h16-17H"	BOVGTQGAOIONJV-XQMQJMAZCQ	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antidiabetic	5.33	0.016480601	1.78302696	31	Moderate	Low	form of drug administered not known			
23096	3096	23096	556_FDAMDD_v3b	C27H33N3O6S	527.63242	defined organic	parent	tested chemical	Gliquidone	33342-05-1	single chemical compound		"N-[(cyclohexylamino)carbonyl]-4-{2-[4,4-dimethyl-7-(methyloxy)-1,3-dioxo-3,4-dihydroisoquinolin-2(1H)-yl]ethyl}benzenesulfonamide"	C1(OC)=CC=C4C(=C1)C(=O)N(CCC3=CC=C(S(=O)(=O)NC(=O)NC2CCCCC2)C=C3)C(=O)C4(C)C	C1(OC)=CC=C4C(=C1)C(=O)N(CCC3=CC=C(S(=O)(=O)NC(=O)NC2CCCCC2)C=C3)C(=O)C4(C)C	"InChI=1/C27H33N3O6S/c1-27(2)23-14-11-20(36-3)17-22(23)24(31)30(25(27)32)16-15-18-9-12-21(13-10-18)37(34,35)29-26(33)28-19-7-5-4-6-8-19/h9-14,17,19H,4-8,15-16H2,1-3H3,(H2,28,29,33)/f/h28-29H"	LLJFMFZYVVLQKT-LKHHGCNMCP	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antidiabetic	1	0.001895259	2.722331473	42	Moderate	High	form of drug administered not known			
23097	3097	23097	557_FDAMDD_v3b	C20H27N5O5S	449.52388	defined organic	parent	tested chemical	Glisoxepide	25046-79-1	single chemical compound		N-{2-[4-({[(azepan-1-ylamino)carbonyl]amino}sulfonyl)phenyl]ethyl}-5-methylisoxazole-3-carboxamide	C3(C(=O)NCCC2=CC=C(S(=O)(=O)NC(=O)NN1CCCCCC1)C=C2)C=C(C)ON=3	C3(C(=O)NCCC2=CC=C(S(=O)(=O)NC(=O)NN1CCCCCC1)C=C2)C=C(C)ON=3	"InChI=1/C20H27N5O5S/c1-15-14-18(23-30-15)19(26)21-11-10-16-6-8-17(9-7-16)31(28,29)24-20(27)22-25-12-4-2-3-5-13-25/h6-9,14H,2-5,10-13H2,1H3,(H,21,26)(H2,22,24,27)/f/h21-22,24H"	ZKUDBRCEOBOWLF-HBAFCJMWCG	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antidiabetic	0.267	0.000593962	3.226241506	47	High-Moderate	High	form of drug administered not known			
23098	3098	23098	558_FDAMDD_v3b	C6H13NO5	179.1711	defined organic	parent	tested chemical	Glucosamine	3416-24-8	single chemical compound	stereochem	2-amino-2-deoxy-beta-D-glucopyranose	O[C@H]1[C@H](N)[C@@H](O)[C@H](O)[C@@H](CO)O1	O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O)[C@@H]1N	"InChI=1/C6H13NO5/c7-3-5(10)4(9)2(1-8)12-6(3)11/h2-6,8-11H,1,7H2/t2-,3-,4-,5-,6-/m1/s1"	MSWZFWKMSRAUBD-QZABAPFNBG	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antiarthritic	100	0.558125725	0.25326796	14	Low	Low	form of drug administered not known			
23099	659	20659	559_FDAMDD_v3b	C5H9NO4	147.1293	defined organic	parent	tested chemical	Glutamic acid	56-86-0	single chemical compound	stereochem	L-glutamic acid	O=C(O)CC[C@H](N)C(O)=O	O=C(O)CC[C@H](N)C(O)=O	"InChI=1/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1/f/h7,9H"	WHUUTDBJXJRKMK-IQTGVIGADK	Clinical Reports 	Maximum Recommended Daily Dose	human	1		experimental antiepileptic	100	0.679674273	0.167699169	13	Low	Low	form of drug administered not known			
23100	3100	23100	560_FDAMDD_v3b	C5H10N2O3	146.1445	defined organic	parent	tested chemical	Glutamine	56-85-9	single chemical compound	stereochem	L-glutamine	NC(=O)CCC(N)C(O)=O	NC(=O)CCC(N)C(O)=O	"InChI=1/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1/f/h9H,7H2"	ZDXPYRJPNDTMRX-ISQTXBHGDW	Clinical Reports 	Maximum Recommended Daily Dose	human	1		none	200	1.368508565	-0.13624752	10	Low	Low	form of drug administered not known			
23101	3101	23101	561_FDAMDD_v3b	C10H17N3O6S	307.32348	defined organic	parent	tested chemical	Glutathione	70-18-8	single chemical compound	stereochem	L-gamma-glutamyl-L-cysteinylglycine	O=C(NCC(O)=O)[C@@H](NC(=O)CC[C@H](N)C(O)=O)CS	O=C(NCC(O)=O)[C@@H](NC(=O)CC[C@H](N)C(O)=O)CS	"InChI=1/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1/f/h12-13,15,18H"	RWSXRVCMGQZWBV-VSCBVDDUDG	Clinical Reports 	Maximum Recommended Daily Dose	human	1		none	5	0.016269502	1.788625738	31	Moderate	Low	form of drug administered not known			
23102	3102	23102	562_FDAMDD_v3b	C13H15NO2	217.2637	defined organic	parent	tested chemical	Glutethimide	77-21-4	single chemical compound		"3-ethyl-3-phenylpiperidine-2,6-dione"	C2(=O)CCC(C1=CC=CC=C1)(CC)C(=O)N2	C2(=O)CCC(C1=CC=CC=C1)(CC)C(=O)N2	"InChI=1/C13H15NO2/c1-2-13(10-6-4-3-5-7-10)9-8-11(15)14-12(13)16/h3-7H,2,8-9H2,1H3,(H,14,15,16)/f/h14H"	JMBQKKAJIKAWKF-YHMJCDSICI	Clinical Reports 	Maximum Recommended Daily Dose	human	1		sedative; hypnotic	8.33	0.038340505	1.41634217	27	Low-Moderate	Low	form of drug administered not known			
23103	3103	23103	563_FDAMDD_v3b	C12H15N3O2S2	297.3964	defined organic	parent	tested chemical	Glybuzole	1492-02-0	single chemical compound		"N-[5-(1,1-dimethylethyl)-1,3,4-thiadiazol-2-yl]benzenesulfonamide"	N2N=C(C(C)(C)C)SC=2NS(=O)(=O)C1=CC=CC=C1	N2N=C(C(C)(C)C)SC=2NS(=O)(=O)C1=CC=CC=C1	"InChI=1/C12H15N3O2S2/c1-12(2,3)10-13-14-11(18-10)15-19(16,17)9-7-5-4-6-8-9/h4-8H,1-3H3,(H,14,15)/f/h15H"	NMWQEPCLNXHPDX-YAQRNVERCM	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antidiabetic	12.5	0.042031444	1.376425694	27	Low-Moderate	Low	form of drug administered not known			
23104	662	20663	564_FDAMDD_v3b	C3H8O3	92.0938	defined organic	parent	tested chemical	Glycerol	56-81-5	single chemical compound		"propane-1,2,3-triol"	OCC(O)CO	OCC(O)CO	"InChI=1/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2"	PEDCQBHIVMGVHV-UHFFFAOYAF	Clinical Reports 	Maximum Recommended Daily Dose	human	1		diagnostic aid	999	10.84763578	-1.035335095	1	Low	Low	form of drug administered not known			
23105	3105	23105	565_FDAMDD_v3b	C3H9O6P	172.073721	defined organic	parent	tested chemical	Glycerophosphoric acid I	57-03-4	single chemical compound		"2,3-dihydroxypropyl dihydrogen phosphate"	C(OP(O)(=O)O)C(O)CO	C(OP(O)(=O)O)C(O)CO	"InChI=1/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)/f/h6-7H"	AWUCVROLDVIAJX-ZDKSUBDRCZ	Clinical Reports 	Maximum Recommended Daily Dose	human	1 of 2	Glycerophosphoric acid	none	66.7	0.387624558	0.411588716	16	Low	Low	form of drug administered not known			
